nama_produk,harga_produk,diskon,banyaknya_terjual,kota_toko
Blender Jus Portable Juicer 400ML Juicer Cup 6 Mata Pisau USB Electric Blender-136,Rp51.878,51% Off,2.7K sold,Kab. Tangerang
Blender Daging Stainless Steel 2 Liter Serbaguna Sayur Buah Kacang Meat Chopper Murah  Mincer Elektrik Grinder chopper Hand Blender Press 2L Baja tahan karat Serbaguna Multifungsi-lls89,Rp52.320,60% Off,9.2K sold,Kota Jakarta Barat
Blender Portable Elektrik Alat Penggiling Bumbu Electric Choper Mini Chopper Dapur Daging Charger Easy Mall,Rp26.990,66% Off,12.5K sold,Kota Jakarta Barat
Pisau Set Dapur Serbaguna 6 in 1 EVCRIERH Jerami Warna Warni Anti Karat,Rp16.999,80% Off,83.0K sold,Kab. Bekasi
COD Panci Multifungsi Bentuk Kotak Dengan Dua Bulat Kecil Untuk Hamburger / Peralatan Dapur,Rp64.668,19% Off,607 sold,Kota Jakarta Utara
PISAU DAPUR / PISAU APEL BAHAN STAINLES 1 LUSIN 12 PCS,Rp16.537,45% Off,2.7K sold,Kab. Bekasi
USB Mini Food Processor-Multi-Purpose Mini Blender - Portable Spice Blender - USB Mini Chopper,Rp37.600,57% Off,71 sold,Kab. Tangerang
Blender Daging Chopper Hand Blender Press 2L Penggiling Serbaguna Multifungsi,Rp57.456,18% Off,68 sold,Kota Bekasi
Blender Portable Alat Penggiling Pencincang Bumbu Dapur Elektrik Tanpa Kabel Mini Chopper 250ML,Rp26.432,47% Off,168 sold,Kab. Tangerang
Rice Cooker Magic com TD / Yamakawa ukuran 1.2 L penanak nasi 3 in 1,Rp134.925,10% Off,72 sold,Kota Bekasi
Electric Cooker Panci listrik FASHION Serbaguna multifungsi promo murah tebal penanak nasi 1 L - 2 L anti lengket serba guna 225W,Rp55.062,15% Off,215 sold,Kota Bekasi
promo sepesial ahir tahun wajan penggorengan tradisional 100 persen gratis sodet setainlais,Rp13.900,50% Off,1.6K sold,Kab. Cirebon
Drying pan WLP-208/450W non-stick electric fryer welhome,Rp66.950,50% Off,70 sold,Kota Jakarta Pusat
